species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
1539,249766,2,1.0,4,54,6,239,17327.256111111114,0,0.0,-0.5370370370370371,-22.93919238683133
1539,249766,3,1.2100000000000002,4,52,6,210,16088.539722222222,0,-0.2100000000000002,-0.25,-3.3830288461538376
1539,249766,4,1.44,4,49,6,197,15912.622222222222,0,-0.43999999999999995,-0.42857142857142855,21.180385487528355
1539,249766,5,1.6900000000000002,4,44,6,176,16950.46111111111,-6,-1.6900000000000002,-0.11363636363636363,21.251736111111065
1539,249775,2,1.0,4,54,6,239,17327.256111111114,0,0.0,-0.5370370370370371,-22.93919238683133
1539,249775,3,1.9599999999999997,4,52,6,210,16088.539722222222,0,1.0400000000000003,-0.25,-3.3830288461538376
1539,249775,4,3.24,4,49,6,197,15912.622222222222,0,-0.2400000000000002,-0.42857142857142855,21.180385487528355
1539,249775,5,3.61,4,44,6,176,16950.46111111111,-1,0.3900000000000001,-0.11363636363636363,21.251736111111065
1539,249775,6,4.840000000000001,4,47,5,171,17885.5375,-5,-4.840000000000001,0.2553191489361702,-137.89273823877065
487,140083,1,1.0,2,55,1,227,16311.395625,1,1.0,0.21818181818181817,18.470190656565716
487,140083,2,2.25,2,54,2,239,17327.256111111114,0,1.75,-0.5370370370370371,-22.93919238683133
487,140083,3,4.840000000000001,2,52,2,210,16088.539722222222,0,5.159999999999999,-0.25,-3.3830288461538376
487,140083,4,10.240000000000002,2,49,2,197,15912.622222222222,0,1.759999999999998,-0.42857142857142855,21.180385487528355
487,140083,5,12.25,2,44,2,176,16950.46111111111,1,6.75,-0.11363636363636363,21.251736111111065
487,140083,6,19.360000000000003,2,47,3,171,17885.5375,-1,11.639999999999997,0.2553191489361702,-137.89273823877065
487,140083,7,31.359999999999996,2,61,2,183,11404.578802777778,0,2.640000000000004,-0.2459016393442623,32.3399148907104
487,249770,2,1.0,2,54,2,239,17327.256111111114,0,0.0,-0.5370370370370371,-22.93919238683133
487,249770,3,1.44,2,52,2,210,16088.539722222222,0,-0.43999999999999995,-0.25,-3.3830288461538376
487,249770,4,1.6900000000000002,2,49,2,197,15912.622222222222,-2,-1.6900000000000002,-0.42857142857142855,21.180385487528355
487,249770,6,1.0,2,47,3,171,17885.5375,-3,-1.0,0.2553191489361702,-137.89273823877065
487,334016,5,1.44,2,44,2,176,16950.46111111111,1,1.56,-0.11363636363636363,21.251736111111065
487,334016,6,3.24,2,47,3,171,17885.5375,-1,-1.2400000000000002,0.2553191489361702,-137.89273823877065
487,334016,7,2.25,2,61,2,183,11404.578802777778,0,1.75,-0.2459016393442623,32.3399148907104
1673,140071,1,4.0,4,55,1,227,16311.395625,0,2.0,0.21818181818181817,18.470190656565716
1673,140071,2,6.25,4,54,1,239,17327.256111111114,0,2.75,-0.5370370370370371,-22.93919238683133
1673,140071,3,9.0,4,52,1,210,16088.539722222222,0,6.0,-0.25,-3.3830288461538376
1673,140071,4,15.209999999999999,4,49,1,197,15912.622222222222,0,1.790000000000001,-0.42857142857142855,21.180385487528355
1673,140071,5,17.64,4,44,1,176,16950.46111111111,0,6.359999999999999,-0.11363636363636363,21.251736111111065
1673,140071,6,24.010000000000005,4,47,1,171,17885.5375,0,11.989999999999995,0.2553191489361702,-137.89273823877065
1673,140071,7,36.0,4,61,1,183,11404.578802777778,0,3.0,-0.2459016393442623,32.3399148907104
1659,139907,1,4.0,4,55,3,227,16311.395625,0,-2.0,0.21818181818181817,18.470190656565716
1659,139907,2,2.25,4,54,3,239,17327.256111111114,0,1.75,-0.5370370370370371,-22.93919238683133
1659,139907,3,4.41,4,52,3,210,16088.539722222222,1,0.5899999999999999,-0.25,-3.3830288461538376
1659,139907,4,5.289999999999999,4,49,4,197,15912.622222222222,0,-0.28999999999999915,-0.42857142857142855,21.180385487528355
1659,139907,5,5.76,4,44,4,176,16950.46111111111,0,1.2400000000000002,-0.11363636363636363,21.251736111111065
1659,139907,6,7.290000000000001,4,47,4,171,17885.5375,-1,0.7099999999999991,0.2553191489361702,-137.89273823877065
